campaign_id,comments,company_id,created_at,data.adjectives_bikes.0,data.adjectives_bikes.1,data.adjectives_bikes.2,data.adjectives_motors.0,data.adjectives_motors.1,data.adjectives_motors.2,data.adjectives_pubs.0,data.adjectives_pubs.1,data.adjectives_pubs.2,data.age_class,data.change.levers.0,data.change.levers.1,data.change.levers.2,data.change.motivation,data.change.other_levers,data.change2.levers.0,data.change2.levers.1,data.change2.levers.2,data.change2.motivation,data.change2.other_levers,data.comments,data.company_vehicle,data.confidentiality,data.constraints.0,data.constraints.1,data.constraints.2,data.constraints.3,data.employment_rate,data.equipments.0,data.equipments.1,data.equipments.2,data.equipments.3,data.equipments.4,data.equipments.5,data.equipments.6,data.freq_mod_bike,data.freq_mod_car,data.freq_mod_combined,data.freq_mod_journeys.0.days,data.freq_mod_journeys.0.modes.0,data.freq_mod_journeys.0.modes.1,data.freq_mod_journeys.0.modes.2,data.freq_mod_journeys.1.days,data.freq_mod_journeys.1.modes.0,data.freq_mod_journeys.1.modes.1,data.freq_mod_journeys.1.modes.2,data.freq_mod_journeys.2.days,data.freq_mod_journeys.2.modes.0,data.freq_mod_moto,data.freq_mod_pro_europe_car,data.freq_mod_pro_europe_combined,data.freq_mod_pro_europe_plane,data.freq_mod_pro_europe_train,data.freq_mod_pro_inter_car,data.freq_mod_pro_inter_combined,data.freq_mod_pro_inter_plane,data.freq_mod_pro_inter_train,data.freq_mod_pro_journeys.0.days,data.freq_mod_pro_journeys.0.destination.lat,data.freq_mod_pro_journeys.0.destination.lon,data.freq_mod_pro_journeys.0.hex_id,data.freq_mod_pro_journeys.0.mode,data.freq_mod_pro_journeys.1.days,data.freq_mod_pro_journeys.1.destination.lat,data.freq_mod_pro_journeys.1.destination.lon,data.freq_mod_pro_journeys.1.hex_id,data.freq_mod_pro_journeys.1.mode,data.freq_mod_pro_journeys.2.days,data.freq_mod_pro_journeys.2.hex_id,data.freq_mod_pro_journeys.2.mode,data.freq_mod_pro_journeys.3.days,data.freq_mod_pro_journeys.3.hex_id,data.freq_mod_pro_journeys.3.mode,data.freq_mod_pro_local_bike,data.freq_mod_pro_local_car,data.freq_mod_pro_local_combined,data.freq_mod_pro_local_journeys.0.days,data.freq_mod_pro_local_journeys.0.destination.lat,data.freq_mod_pro_local_journeys.0.destination.lon,data.freq_mod_pro_local_journeys.0.mode,data.freq_mod_pro_local_moto,data.freq_mod_pro_local_pub,data.freq_mod_pro_local_train,data.freq_mod_pro_local_walking,data.freq_mod_pro_region_car,data.freq_mod_pro_region_combined,data.freq_mod_pro_region_moto,data.freq_mod_pro_region_plane,data.freq_mod_pro_region_pub,data.freq_mod_pro_region_train,data.freq_mod_pub,data.freq_mod_train,data.freq_mod_walking,data.freq_trav_pro_inter,data.freq_trav_pro_local,data.freq_trav_pro_region,data.importance_comfort,data.importance_cost,data.importance_env,data.importance_flex,data.importance_most,data.importance_rel,data.importance_time,data.needs_bike,data.needs_car,data.needs_moto,data.needs_pub,data.needs_train,data.needs_walking,data.origin.address,data.origin.lat,data.origin.lon,data.remote_work_rate,data.terms_conditions,data.trav_pro.0,data.trav_pro.1,data.trav_pro.2,data.travel_pro,data.travel_time,data.version,data.workplace.address,data.workplace.lat,data.workplace.lon,data.workplace.name,id,token,typo.reco.access.cargo,typo.reco.access.covoit,typo.reco.access.elec,typo.reco.access.inter,typo.reco.access.marche,typo.reco.access.tpu,typo.reco.access.train,typo.reco.access.vae,typo.reco.access.velo,typo.reco.error,typo.reco.reco_dt2.0,typo.reco.reco_dt2.1,typo.reco.scores.cargo,typo.reco.scores.covoit,typo.reco.scores.elec,typo.reco.scores.inter,typo.reco.scores.marche,typo.reco.scores.tpu,typo.reco.scores.train,typo.reco.scores.vae,typo.reco.scores.velo,typo.reco.t_traj_mm.did,typo.reco.t_traj_mm.oid,typo.reco.t_traj_mm.t_tim,typo.reco.t_traj_mm.t_tp,typo.reco.t_traj_mm.t_velo,typo.reco_actions.mesure_dt1,typo.reco_actions.mesure_dt1.0,typo.reco_actions.mesure_dt1.1,typo.reco_actions.mesure_dt1.2,typo.reco_actions.mesure_dt2,typo.reco_actions.mesure_dt2.0,typo.reco_actions.mesure_dt2.1,typo.reco_actions.mesure_dt2.2,typo.reco_actions.mesure_pro.0,typo.reco_actions.mesure_pro.0.0,typo.reco_actions.mesure_pro.1,typo.reco_actions.mesure_pro.1.0,typo.reco_actions.mesure_pro.2,typo.reco_actions.mesure_pro_loc.0,typo.reco_actions.mesure_pro_regint.0,typo.reco_actions.mesures_globa.0,typo.reco_actions.mesures_globa.1,typo.reco_actions.mesures_globa.2,typo.reco_pro.reco_pro_int,typo.reco_pro.reco_pro_loc,typo.reco_pro.reco_pro_reg,typo.reco_pro.reco_pros.0,typo.reco_pro.reco_pros.1,typo.reco_pro.reco_pros.2,typo.reco_pro.reco_pros.3,updated_at
3,"1. Pourquoi le questionnaire est en anglais ? 

2. Pourquoi proposer le ""carpooling"" si je n'ai pas de voitures, et si j'utilise seulement des modes de depl. décarbonné ? 
3. Questionnaire intéressant
",2,2025-03-13T15:45:42.945843,,,,,,,,,,26-44,,,,,,,,,,,,false,,,,,,100,bike,,,,,,,4,0,false,,,,,,,,,,,0,,,,,0,false,0,0,,,,,,,,,,,,,,,,,0,0,false,,,,,0,0,0,0,0,false,0,0,0,0,1,0,0,0,0,0,5,2,5,4,5,4,5,5,1,1,4,5,5,1003 Lausanne CH,46.520666500000004,6.6316507,40,,,,,,20,,1015 Ecublens CH,46.519966999999994,6.5699155000000005,,45,qItKw6lh0NPAyI4iFTjSZA,,0.7,0.7,0,0,0,0,1,0,,vae,covoit,,48,48,52,60,54,57,58,59,,,,,,,shower,bike_parking,,,carpool_connect,,,,,,,,,,,,,,,,,,,,2025-03-13T15:50:29.657016
1,,1,2025-03-13T15:57:14.147284,reliable,autonomous,relax,impractical,ecological,safe,impractical,expensive,dangerous,26-44,,,,,,,,,,,,false,,,,,,100,bike,,,,,,,3,0,false,,,,,,,,,,,0,,,,,0,false,0,0,,,,,,,,,,,,,,,,,0,0,false,,,,,0,0,0,0,0,false,0,0,0,0,3,0,3,0,0,0,1,4,5,1,1,1,2,4,1,1,5,5,1,Geneva CH,46.2048287,6.1430469,40,,,,,,20,,Route de la Galaise 32 1228 Plan-les-Ouates CH,46.1677445,6.1029748,,46,2rr1jCk3-HhHawXT6QYXuA,,0.7,0.7,0,0,1,1,1,0,,vae,tpu,,44,34,45,58,68,52,70,71,,,,,,,shower,bike_parking,bike_equipment,,cff_pass_ag,,,,,,,,,,,,,,,,,,,,2025-03-14T08:09:39.669512
3,,2,2025-03-13T15:57:26.065602,cheap,ecological,dangerous,polluting,practical,autonomous,fast,pleasant,ecological,26-44,,,,,,,,,,,,false,,night,,,,100,bike,,,,,,,5,0,true,,,,,,,,,,,0,,,,,0,false,0,0,,,,,,,,,,,,,,,,,0,0,false,,,,,0,0,0,0,0,false,0,0,0,0,1,1,1,0,0,0,2,4,4,2,1,1,4,5,1,1,2,1,1,"Chemin du Parc-de-Valency 3, 1004 Lausanne CH",46.52716785,6.61514775,0,,,,,,20,,Rue Jean Tschumi 1015 Ecublens CH,46.52034245,6.56488125,,47,4kb0R6tJG6Vb3Vo_XDZbYQ,,0.7,0.7,0,0,0,0,1,0,,vae,covoit,,47,43,48,54,54,46,68,69,,,,,,,shower,bike_parking,,,carpool_connect,,,,,,,,,,,,,,,,,,,,2025-03-13T16:02:31.473342
3,,2,2025-03-13T16:07:44.202404,cheap,ecological,tiring,fast,dangerous,polluting,bad_weather,cheap,practical,26-44,,,,,,,,,,,,false,,,,,,100,bike,upt_subs,,,,,,0,0,false,,,,,,,,,,,0,,,,,0,false,0,0,,,,,,,,,,,,,,,,,0,0,false,,,,,0,0,0,0,0,false,0,0,0,0,5,0,0,0,0,0,4,3,4,4,5,4,5,3,1,1,5,1,1,"Avenue de Cour 81, 1007 Lausanne CH",46.515419050000006,6.61487125,0,,,,,,15,,"École Polytechnique Fédérale de Lausanne, Chemin de la Dent d'Oche, 1024 Ecublens CH",46.518754400000006,6.566174200000001,,48,QobH-8oBv8KuFEnsrT2szg,,0.7,0.7,0,0,0,0,1,0,,vae,covoit,,48,48,48,52,65,49,47,48,,,,,,,shower,bike_parking,,,carpool_connect,,,,,,,,,,,,,,,,,,,,2025-03-14T07:56:42.799302
1,,1,2025-03-13T16:29:05.902167,pleasant,ecological,cheap,autonomous,polluting,practical,cheap,ecological,safe,65+,,,,,,,,,,,,false,,disabled,,,,60,upt_subs,mob_subs,eab,car_driver,,,,0,5,false,,,,,,,,,,,0,,,,,0,false,0,1,,,,,,,,,,,,,,,,,0,0,false,,,,,0,0,0,0,0,false,0,0,0,2,0,0,0,1,0,2,5,3,5,4,3,5,4,3,4,1,4,4,2,"Chemin du Nant-d'Aisy 15, 1247 Anières CH",46.2716195,6.2176937,50,,,,,,45,,Route de la Galaise 32 1228 Plan-les-Ouates CH,46.1677445,6.1029748,,49,FyZZtl1nWcn6zEUGf7EjiA,,1,0.7,1,0,1,0,0,0,,covoit,inter,,62,66,59,54,51,52,51,52,,,,,,,,,,,cff_pass_ag,,,,,,,,,train_pro,,,,,,train,,,,,2025-03-13T16:39:47.382902
3,"The examples of travel distances are relative to Geneva, despite the work location being Renens.",2,2025-03-13T18:07:35.789391,fast,autonomous,healthy,polluting,autonomous,expensive,ecological,safe,practical,26-44,,,,,,,,,,,,false,,dependent,,,,80,bike,,,,,,,0,0,false,,,,,,,,,,,0,,,,,0,false,0,0,,,,,,,,,,,,,,,,,0,0,false,,,,,0,0,0,0,0,false,0,0,0,0,4,0,0,0,0,0,4,4,5,5,2,4,4,5,1,3,5,4,1,"Avenue des Acacias 6, 1006 Lausanne CH",46.5132475,6.6314534,10,,,,,,30,,Rue Jean Tschumi 1015 Ecublens CH,46.52034245,6.56488125,,53,nA53wq8xyGRaJmsAJ_g-5Q,,0.7,1,0,0,0,0,1,0,,vae,elec,,45,49,49,52,62,50,58,59,,,,,,,shower,bike_parking,,,ev_charging,,,,,,,,,,,,,,,,,,,,2025-03-13T18:11:40.261858
3,,2,2025-03-13T18:15:18.312617,fast,cheap,ecological,expensive,dangerous,unpleasant,relax,practical,safe,26-44,,,,,,,,,,,,false,,heavy,,,,40,eab,upt_subs,,,,,,3,0,false,,,,,,,,,,,0,,,,,0,false,0,0,,,,,,,,,,,,,,,,,0,0,false,,,,,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,2,5,2,5,2,3,5,5,2,3,3,1,2,"Avenue de la Chablière 22, 1004 Lausanne CH",46.53160405,6.614744,50,,,,,,15,,"Rte Cantonale, 1015 Lausanne, Suisse",46.52034245,6.56488125,,54,r6Zkv8VdFzGwiKPK58ZIcw,,0.7,1,0,0,0,0,0,0,,elec,covoit,,48,52,48,54,50,43,63,64,,,,,,,ev_charging,,,,carpool_connect,,,,,,,,,,,,,,,,,,,,2025-03-13T18:31:09.291694
1,,1,2025-03-13T21:15:52.246387,cheap,fast,practical,impractical,polluting,tiring,pleasant,reliable,practical,26-44,,,,,,,,,,,,false,,,,,,75,bike,upt_subs,train_subs,,,,,3,0,true,,,,,,,,,,,0,,,,,0,false,0,0,,,,,,,,,,,,,,,,,0,0,true,,,,,0,1,1,1,0,true,0,0,4,4,4,4,4,0,8,4,4,2,4,3,4,4,3,3,1,1,5,4,5,"Sulgenauweg 18, 3007 Bern CH",46.93855,7.4342146,40,,,,,,90,,Klosbachsstrasse 48  8032 Zurich,46.1677445,6.1029748,,55,w3Uq3mQc3-uS3ZNEy4eKew,,0.7,0.7,1,0,1,0,0,0,,tpu,inter,,47,48,57,68,62,63,54,55,,,,,,,cff_pass_ag,,,,cff_pass_ag,,,,,,,,ebike_fleet,train_pro,,,,,velo,train,,,,,2025-03-13T21:23:17.774444
3,,2,2025-03-14T07:16:14.651528,slow,cheap,ecological,fast,practical,polluting,fast,ecological,congested,18-24,,,,,,,,,,,,false,,,,,,40,train_subs,upt_subs,,,,,,0,0,false,,,,,,,,,,,0,,,,,0,false,0,0,,,,,,,,,,,,,,,,,0,0,false,,,,,0,0,0,0,0,false,0,0,0,0,5,0,0,0,0,0,2,1,1,4,1,5,3,1,1,1,5,5,1,Neuchâtel CH,47.020830000000004,6.9184604499999995,5,,,,,,90,,"Rte Cantonale, 1015 Lausanne",46.52034245,6.56488125,,56,uNqZ8I5hV4MKVmiQ7Axruw,,0.7,0.7,1,0,1,0,1,0,,tpu,inter,,43,59,54,52,58,52,47,48,,,,,,,tpg_pass,,,,cff_pass_ag,,,,,,,,,,,,,,,,,,,,2025-03-14T07:24:43.468882
1,"Had to fill an extensive survey for decisions that I can make myself without this tool. The added value of the tool could be research on health benefits, environmental benefits etc. And policy recommendations for the canton, employer. Display trends from overall responses to the survey.",1,2025-03-14T07:49:45.142134,impractical,bad_weather,dangerous,fast,expensive,impractical,practical,reliable,safe,26-44,,,,,,,,,,,,true,,,,,,100,upt_subs,bike,,,,,,0,0,false,,,,,,,,,,,0,,,,,0,true,1,2,,,,,,,,,,,,,,,,,0,0,false,,,,,0,0,0,0,0,false,0,0,0,0,3,0,0,1,0,1,1,3,2,1,2,2,4,2,1,1,5,2,3,"Place de la Navigation, 1201 Geneva CH",46.21181215,6.14968965,50,,,,,,25,,"Route de La-Capite, 1223 Cologny CH",46.228830450000004,6.19698175,,57,jpa_vhrVgR4VN_IB-Kbpkg,,0.7,0.7,0,0,1,0,1,0,,tpu,vae,,49,43,48,56,64,49,47,48,,,,,,,cff_pass_ag,,,,shower,bike_parking,bike_equipment,,,,,,,train_pro,,,,train,,,,,,,2025-03-14T07:58:24.140254
